id	area	capability	sources	mock_status	mock_observation	preserve_at	acceptance
PROD-13	Produktion	Frame-Continuation und native Video-Extension	PipelineShotlistWriter.swift;ToolExecutor+Workflow.swift@nextRenderShotTool;Shotlist.swift	missing	Keine vollständige Wahl oder Herkunftsdarstellung	Shotplanung > Anschlussstrategie; Takes > exakte Quellbindung	Continuation bindet letzten Frame des Vorgängers; Extension bindet echtes Vorgängervideo und ausführbaren Modus.
PROD-14	Produktion	Blocking, räumliche Pläne, 360-Panorama und POV-Extraktion	SpatialProductionPlanV1.swift;PovExtractor.swift;ToolExecutor+Workflow.swift@extractScene3dPovs	partial	2D-Schemademo; echter vorhandener Panorama-/POV-Weg nicht zugänglich	Shotplanung > Blocking mit Quellen und Kameraansichten	Dieselbe Geometrie für Perspektivwechsel verwenden; Extraktion lokal/deterministisch; Restyling als separater Auftrag.
PROD-15	Produktion	Story-Chronologie, Zustandsleiter und Kausalitätsprüfung	StoryCausalityPlanV1.swift;StoryboardCausalityV1.swift;SpatialProductionPlanV1.swift;SanityPanelView.swift	partial	Ein demonstrierter Chronologie-Konflikt	Pre-Render-Review > Zustände/Anschlüsse nach Story-Weltzeit	Zeitsprünge im Film nicht als Weltchronologie behandeln; echte Checks und zusätzliche semantische Prüfung unterscheiden.
PROD-16	Produktion	Sanity-Befunde mit Schwere, Evidenz, Quelle und Korrektur	SanityPanelView.swift;CheckRegistry.swift;MusicvideoProductionGate.swift	partial	Nur ausgewählte Beispielbefunde	Produktion > Pre-Render-Review	Alle registrierten Core-/Pack-Checks erhalten; Warnung/Blocker/Info und Artefaktverweis nicht auf ein Ampelsignal reduzieren.
PROD-17	Produktion	Frames/Anker auswählen, neu erzeugen und aus Frames remixen	ReviewPanelView.swift;FramesPanelModel.swift;FrameAuditAcceptanceV1.swift	partial	Anker-Sichtung vorhanden; Redo/Remix und Prüfdetails unvollständig	References > Shot-Anker > Auswahl/Neuversuch/Remix	Sketches und gerenderte References getrennt halten; genaue Eingangsframes und Kostenfreigabe nachweisen.
PROD-18	Produktion	Frame-, Produktionsstil- und Timeline-Stilreview	FrameFindingsReviewView.swift;ProductionStyleReviewView.swift;TimelineStyleReviewView.swift	missing	Allgemeiner Reviewstatus ersetzt diese Prüfungen	References/Pre-Render-Review/Postproduction jeweils am eigenen Artefakt	Abweichungen mit Begründung annehmen; stale Review nach Bild-/Stil-/Timelineänderung erkennen.
PROD-19	Produktion	Takes: sechs Prüfgänge, Ablehnung, Abweichung, Auswahl	TakeReviewView.swift;TakeReview.swift;PipelineRenderTakeStore.swift	partial	Take anklicken genügt; vollständiger verbindlicher Review fehlt	Produktion > Takes > objektbezogener Review	Nur gültiger Review des exakten Takes erlaubt Auswahl; abgelehntes Material nicht freigeben.
PROD-20	Produktion	Nutzbaren Bereich eines Takes retten und geprüft einfügen	TakeRangeReviewView.swift;ReviewedTakeRange.swift	missing	Trim im Dummy wird nicht als eigener Bereichsreview behandelt	Takes > Bereich retten, danach gezielter Insert im Schnitt	Bereich mit Start/Ende, Beobachtung und Audio-Wahl separat prüfen und exakt übernehmen.
PROD-21	Produktion	Iterationsentscheidungen, Reparatur, Rewrite, Simplify, Model-Limit	TakeRepairView.swift;TakeRepairPlan.swift;TakeIterationPolicyV1.swift	missing	Kein vollständiger begrenzter Reparaturweg	Takes > Nächster Versuch / Korrekturplan	Fehlversuche und Grenze berücksichtigen; kein endloses autonomes Neu-Rendern; Kosten erneut freigeben.
PROD-22	Produktion	Gate-Approve, Needs Revision, Rewind, Status-/Artefaktzugriff	PipelinePanelView.swift;NativeGateWriter.swift;PipelineAgentHarness.swift@PipelinePhaseAccess	partial	Dummy-Zustände und Freigaben, keine exakte native Readiness	Produktion > aktuelle Phase und deren Kontextmenü	Nur aktueller Phasezugriff; Job sperrt Mutationen; kanonische Readiness auf Klick erneut prüfen.
PROD-23	Produktion	Song-Anker, Render-Provenienz und deterministische Assembly	EditorViewModel+SongAnchor.swift;ToolExecutor+Workflow.swift@assembleTimeline;AssemblyPlanV1.swift;PipelineRenderTakeStore.swift	partial	Initiale Takes-to-NLE-Demo ohne vollständigen Assembly-Nachweis	Takes > Montage übernehmen; Schnitt bleibt frei bearbeitbar	Freigegebene Take-/Bereichs-IDs, Trackbindung und Montagezeitpunkte exakt übernehmen; spätere Montage nicht heimlich überschreiben.
AGENT-01	Interaktion	Choice, Multi-choice, Prosa, Datei-Intake, Cancel und Empfehlungen	AgentDialogCard.swift;ToolDefinitions.swift@showDialog;AgentSurfaceState.swift	adapter	Einige deterministische Dialoge; dynamischer schema-validierter Vertrag unvollständig	Kontextgebundener Interaktionsbereich der aktiven Aufgabe	Alle existierenden Dialogarten einschließlich Defaults, Pflichtfeldern, Empfehlungen und Abbruch erreichbar halten.
AGENT-02	Interaktion	Strukturierte Blocks, Artefaktvorschau und Medienanzeige	AgentBlocksView.swift;AgentMessageView.swift;ToolDefinitions.swift@showBlocks	adapter	Einige feste Artefaktansichten ersetzen nicht die ganze Block-Vokabel	Aktuelle Arbeitsfläche und aufgabenbezogene Ergebnisansicht	Alle vorhandenen Blockarten rendern; Medien und Detailansichten öffnen; keine technische JSON-Prosa als UI.
AGENT-03	Interaktion	Laufstatus, Tool-Fortschritt, Cancel, Wiederaufnahme und Fehler	AgentLiveStatusView.swift;ToolRunPresentation.swift;PipelinePhaseProgressView.swift;AgentService.swift	partial	Ein Timer plus Stop; keine vollständigen Backendzustände	Beständiger kontextbezogener Auftragsstatus	Transportverlust nicht als Phasenende interpretieren; Runtime-/Providerfehler unterscheiden; echte Stage-Grenzen zeigen.
AGENT-04	Interaktion	Objekt-/Bereichskontext statt Mentions/Add to Chat	MentionPopover.swift;InspectorView.swift@scopedThreadButton;TimelineView.swift@performAddClipsToChat	adapter	Freier Chat entfernt, keine vollständige Ersatzaktion	Objekt-/Clip-/Bereichsauswahl > begrenzter Auftrag	Exakte Objekt-/Asset-/Range-IDs übergeben; nicht mehr verdeckt eine neue freie Konversation starten.
AGENT-05	Interaktion	Auftrags-/Entscheidungshistorie statt paralleler Chats	AgentPanelView.swift;ChatHistoryList.swift;ChatSessionStore.swift	adapter	Keine gleichwertige Historie; bewusste Ablösung freier Chats	Projektaktivität und objektbezogene Entscheidungen	Wiederfinden, Fortsetzen, Löschen und aktueller Auftrag bleiben möglich; bestehende Gespräche nicht bei Migration verlieren.
AGENT-06	Interaktion	Model-/Runtime-Wahl, Backendwechsel und Local MCP	AgentPane.swift;AgentPanelView.swift@backendRecoveryDock;MCPInstructionsPane.swift	native-shell	Nicht im Dummy	Einstellungen > Agent; Diagnose/Verbindungsstatus	Embedded CLI und API-Key-Weg erhalten; Backend-Bereitschaft unabhängig vom Intake früh anzeigen, Fehler mit direktem Einstieg in Agent-Einstellungen; App-Sprache und lokale MCP-Anbindung erhalten.
AGENT-07	Interaktion	Externe MCP-Server hinzufügen/importieren, vertrauen, bearbeiten, entfernen	AgentPane.swift@beginAddingExternalMcpServer;ExternalMcpServers.swift	native-shell	FilmFlow-Demo ersetzt diese Konfiguration nicht	Einstellungen > Agent > Verbindungen	Vertrauensbestätigung, Mehrfachimport, Namenskonflikte und Entfernen bewahren; keine automatische FilmFlow-Zuweisung.
FIN-01	Postproduction	Film-/Übergangssichtung, eigene Befunde, Aktionen und Zeitbereiche	SequenceReviewView.swift;SequenceReviewV1.swift;PipelineSequenceReviewStore.swift	partial	Sichtung und Beispielbefunde vorhanden; Scope, freie Bereiche und alle Reparaturentscheidungen unvollständig	Postproduction > Endkontrolle	Aktuelle echte Montage mit Audio prüfen; jede Befundaktion und exakte Bereiche erhalten.
FIN-02	Postproduction	Postproduction-Korrektur mit bestehenden Edit-Werkzeugen	FinishReviewPane.swift;InspectorView.swift;AdjustTab.swift;AudioTab.swift	partial	Bisheriger Sammelbereich Finish führt nur zurück zum Schnitt; eigenständige vollständige Postproduction fehlt	Postproduction > vollständige gemeinsame Inspector-Werkzeuge; Montagekorrekturen im Schnitt	Kein eigener zweiter Grade-/Audiostand; Rückkehr nach Änderung macht veralteten Review ungültig.
FIN-03	Export	H.264/H.265/ProRes, Auflösungen, Master/Ableitung, Review-Option	ExportView.swift;ExportOptions.swift;PipelineDeliveryStore.swift	partial	Optionen simuliert; fixe Geometrie und unnötiger Dummy-Phasenzwang	Export > Videoausgabe und natives Export-Menü	Projektaspekt/FPS bewahren; Review-Pflicht bleibt ausdrückliche Option; vorhandener Export aus freiem NLE bleibt möglich.
FIN-04	Export	XML-Übergabe und selbstenthaltene Projektkopie	XMLExporter.swift;ProjectPackageExporter.swift;ExportView.swift	partial	Ausgabearten simuliert	Export > XML-/Projektübergabe; natives Exportfenster	XML-Verluste benennen; Projektkopie bindet Medien ein und weist fehlende Dateien aus.
FIN-05	Export	Ausgabeauftrag, Fortschritt, Abbruch, Recovery, technische Probe	PipelineDeliveryStore.swift;ExportCoordinator.swift;ExportView.swift	partial	Kurzer Timer und letzte sechs Demo-Aufträge	Export > Aufträge, Ausgabeverlauf und technische Datei-Prüfung	Unfertige/fehlgeschlagene Exporte nicht als erfolgreich markieren; Codec/Größe/FPS/Dauer/Audio tatsächlich prüfen.
SET-01	Einstellungen	UI-Skalierung, Benachrichtigungen, Diagnose-Einwilligung	AppearancePane.swift;NotificationsPane.swift;PrivacyPane.swift	native-shell	Nicht im Arbeitsflächen-Dummy	Vorhandene allgemeine Einstellungen	Skalierung beeinflusst Controls, nicht Filmtiming; Benachrichtigung und Telemetrie bleiben ausdrückliche Optionen.
SET-02	Einstellungen	Provider: API-Keys, OAuth-Verbindungen, Aktivierung, Prompt-Processing	ProvidersPane.swift;ProviderOAuth.swift;GenerationProviderAuth.swift	native-shell	Generierungs-Demo ersetzt keine Providerkonfiguration	Einstellungen > Provider	Vorhandene funktionierende Provider erhalten; Keys geschützt; keine unausführbaren Eingabefelder hinzufügen.
SET-03	Einstellungen	Modelle suchen/aktivieren, Capability-Recherche mit Evidenz und Annahme	ModelsPane.swift;ModelCapabilityResearchPane.swift;ModelCapabilityResearchController.swift	native-shell	Nicht dargestellt	Einstellungen > Modelle	Nur belegte Fähigkeitsfelder annehmen; Vergleich, Deaktivieren, Archivieren, Aktualisieren und Löschen erhalten.
SET-04	Einstellungen	Speicherort, Cache, Suchindex/-modell	StoragePane.swift;ProjectWorkingCopy.swift	native-shell	Nicht dargestellt	Einstellungen > Speicher	Cache/Index-Löschen entfernt keine Originale; neuer Projektordner verschiebt keine bestehenden Projekte.
PACK-01	Format-Packs	Installieren, Aktualisieren, Entfernen und Neustartzustände	PluginsPane.swift;PluginRemovalSheet.swift;PluginUpdateCenter.swift;PluginInstaller.swift	native-shell	Neues Projekt wählt nur generisch/Music Video	Einstellungen > Format-Packs und Projektstart	Alle Versions-/Ladezustände verständlich; genutzte/residente Versionen nicht still ersetzen.
PACK-02	Format-Packs	Exakte Projekt-Pins, Recovery-Kopie und explizites Upgrade	ProjectPackGate.swift;ProjectPackMigration.swift;ProjectPluginSettings.swift	missing	Dummy simuliert keine Versionskonflikte oder Recovery	Projekt öffnen > Auflösungskonflikt; Pack-Einstellungen	Fehlender/falscher Pack stoppt Laden/Speichern; Upgrade migriert ausdrückliche Kopie, kein latest-wins.
PACK-03	Format-Packs	Pack-Akzent, deklarative Oberflächen und dynamischer UI-Vertrag	PackAccent.swift;PackSurfaceDocument.swift;MusicvideoPack.swift;UIContract.swift	partial	Akzent und zwei feste Modi simuliert	Host-eigene Chrome/Primitives, Pack liefert Farbe und Daten	Pack-Farbe deutlich ohne farbige Rahmen; generischer Workflow bleibt vollständig; keine Musicvideo-Sonderlogik in allen Panels.
CORE-01	Core/Harness	Kanonische Writer, Gates, kumulative Lineage, typisierte Dateien	PipelineArtifactWriteContract.swift;PipelineAgentHarness.swift@PipelinePhaseAccess;PipelineShotlistWriter.swift;PIPELINE_AGENT_HARNESS.md	partial	Dummy verwendet eigene vereinfachte Prüfungen	Vorhandene Host-/Engine-Dienste hinter allen neuen UI-Aktionen	Keine UI-Mutation umgeht Writer/Gate oder kopiert die kanonische Wahrheit in einen zweiten State.
CORE-02	Core/Harness	Phasenjobs, idempotente Wiederaufnahme, Runtime-Dokumente und Capabilities	PipelinePhaseExecution.swift;PipelineAgentHarness.swift;PIPELINE_AGENT_HARNESS.md	partial	Keine native Ausführungsidentität im Dummy	Interaktions-/Fortschrittsbereich, Engine unverändert	Ein Projekt führt nur einen Phasenjob aus; Reconnect/Retry startet keinen zweiten Auftrag.
CORE-03	Core/Harness	Prompt-Compile, Budget, Referenz-Snapshots, Prepared Requests	PromptCompiler.swift;GenerationBudgetGuard.swift;GenerationReferenceSnapshot.swift;GenerationRequest.swift	partial	Nur simulierte Kosten-/Zustandsbindung	Gemeinsame native Auftragsvorbereitung	Kosten-/Quelländerung macht Freigabe ungültig; Ausgabe bindet tatsächliches Modell, Prompt und Referenzen.
CORE-04	Core/Harness	Produktionswissen und formatübergreifende Profile	ProductionProfile.swift;ProductionKnowledgeLoaderV1.swift;ProductionRequirementResolverV1.swift;PRODUCTION_PROFILES.md	missing	Wissens-/Profilherkunft nicht vollständig dargestellt	Produktionsaufgaben nutzen vorhandene Core-Profile und Pack-Ergänzungen	Keine Kopie generischer Filmdoktrin in jeden Pack; Ratschläge und deterministische Pflichten unterscheiden.
PROD-24	Produktion	Nativer oder importierter Blockout-Clip mit Kamera-/Layout-/Zustandsbindung	NativeBlockoutExporter.swift;PipelineSpatialProductionWriter.swift;SpatialProductionPlanV1.swift	missing	Statischer 2D-Plan ersetzt keinen vorhandenen Blockout-Export	Shotplanung > Blocking > Blockout-Vorschau/Import	Vorhandenen deterministischen Plan-/Elevationsexport nutzen; nicht als vollständigen 3D-Editor ausgeben; importiertes MOV und exakte Hashbindungen erhalten.
PROD-25	Produktion	Musicvideo: Performance-Segmente, Visual Arc, Coverage und Final Mix	PipelineMusicvideoProductionWriter.swift;MusicPerformanceSegmentExporter.swift;MusicvideoProductionExtensionsV1.swift;PipelineMusicvideoAssemblyWriter.swift	missing	Diese bestehenden Pack-Ergänzungen sind im Dummy nicht angemessen abgebildet	Musicvideo ergänzt Shotplanung und Montage/Ton	Samplegenaue Track-Segmente, Lyrics-Bindung, Coverage/Motiv-Setups und finalen Song-Mix erhalten; nicht zum generischen Pflichtworkflow machen.
PROD-26	Produktion	Shot-Delivery als Video oder Still mit Ken-Burns-Bewegung	PipelineShotDelivery.swift;ShotDeliveryModeV1.swift;ToolExecutor+Workflow.swift@renderDeliveryModes	missing	Dummy setzt Video-Takes voraus	Shotplanung > Ausgabeart; Assembly übernimmt gültige Quelle	Still-Delivery vermeidet unnötige Videogenerierung; Bildquelle, Dauer und Bewegung nach bestehendem Vertrag erhalten.
CORE-05	Core/Harness	Lokale Audioanalyse-Adapter, Stem Separation, Beat/Chord/Transkription	AudioAnalysisRuntime.swift;DemucsStemSeparator.swift;BeatThisDetector.swift;ChordRecognizer.swift;WhisperCppTranscriber.swift;AppleMusicUnderstandingAnalyzer.swift	partial	Demo-Charts zeigen nicht die verfügbaren Adapter und Degradationszustände	Audioanalyse nutzt vorhandene Engine-Adapter; Status/Fehler im Interaktionsbereich	Vorhandene lokale Modelle/Adapter erhalten; OS-/Modellverfügbarkeit ehrlich; Engine-Stems nicht als fertigen DAW-Stem-Editor ausgeben.
NEW-01	Neue Vorschläge	Mehrere Sketch-Momente pro Storyboard-Shot	Storyboard.swift;docs/ui/desktop-production-workbench.js	proposal	Im Dummy vorhanden, im nativen Storyboard-Vertrag nicht gleichwertig vorhanden	Storyboard/Animatic, gesonderte versionierte Vertragserweiterung	Momente erfinden keine neuen Shot-IDs/Schnitte; Dauer bleibt eine gemeinsame Quelle.
NEW-02	Neue Vorschläge	FilmFlow-MCP-Import als Snapshot und Abkürzung	docs/ui/desktop-production-workbench.js;AgentPane.swift	proposal	Nur Demo-Import; kein fertiger FilmFlow-Adapter nachgewiesen	Projekt > expliziter Import mit Zuordnung/Annahme	Importiert vorhandene Arbeit; erzeugt keine fiktiven früheren Freigaben und ist nicht Pflicht.
NEW-03	Neue Vorschläge	Eigenständiges Skript, Planungsreihenfolge und zusammengeführte References	UIContract.swift;docs/ui/desktop-production-workbench.js;PIPELINE_AGENT_HARNESS.md	proposal	Zielphasen weichen vom nativen Phasenvertrag ab	Gesonderte Vertragsentscheidung; bisherige Artefakte/Gates erhalten	UI-Namen dürfen den Harness nicht still umordnen; Bible und Frames nicht zu einem unprüfbaren Artefakt verschmelzen.
NEW-04	Neue Vorschläge	Automatischer semantischer Gesamtfilm-Audit	SequenceReviewView.swift;docs/ui/desktop-production-workbench.finish.js	proposal	KI-Lichtbefund ist Beispieldatum, kein vorhandener autonomer Prüflauf	Begrenzter künftiger Adapter auf exaktem Review-Reel	Neue Fähigkeit getrennt ausweisen; native Mess-/Reviewdaten und künstlichen Beispielbefund nicht verwechseln.
